sector,asset_type,avg_return_%,avg_volatility_%,avg_score,investments_analyzed,top_performer
Entertainment,stock,8.83,0.0,8.83,1,NETWORK18
Household & Personal Products,stock,1.41,0.0,1.41,7,EMAMILTD
Tobacco,stock,1.41,0.0,1.41,1,ITC
Specialty Chemicals,stock,0.9,0.0,0.9,2,ASIANPAINT
Packaged Foods,stock,0.72,0.0,0.72,3,NESTLEIND
Medical Care Facilities,stock,0.64,0.0,0.64,1,APOLLOHOSP
Building Materials,stock,0.43,0.0,0.43,5,AMBUJACEM
Asset Management,stock,0.31,0.0,0.31,1,HDFCAMC
Auto Manufacturers,stock,0.16,0.0,0.16,7,EICHERMOT
Banks - Regional,stock,-0.07,0.0,-0.07,6,KOTAKBANK
Financial Conglomerates,stock,-0.14,0.0,-0.14,1,BAJAJFINSV
Broadcasting,stock,-0.19,0.0,-0.19,3,SUNTV
Utilities - Regulated Electric,stock,-0.21,0.0,-0.21,2,POWERGRID
Beverages - Brewers,stock,-0.29,0.0,-0.29,1,UBL
Credit Services,stock,-0.35,0.0,-0.35,5,BAJFINANCE
Luxury Goods,stock,-0.49,0.0,-0.49,1,TITAN
Software - Infrastructure,stock,-0.59,0.0,-0.59,1,OFSS
Engineering & Construction,stock,-0.78,0.0,-0.78,1,LT
Farm & Heavy Construction Machinery,stock,-0.93,0.0,-0.93,2,ASHOKLEY
Other Industrial Metals & Mining,stock,-1.04,0.0,-1.04,3,VEDL
Auto Parts,stock,-1.08,0.0,-1.08,2,APOLLOTYRE
Information Technology Services,stock,-1.09,0.0,-1.09,9,TCS
Telecom Services,stock,-1.16,0.0,-1.16,2,BHARTIARTL
Utilities - Regulated Gas,stock,-1.23,0.0,-1.23,1,GAIL
Specialty Industrial Machinery,stock,-1.24,0.0,-1.24,1,SIEMENS
Utilities - Independent Power Producers,stock,-1.32,0.0,-1.32,1,TATAPOWER
Beverages - Non-Alcoholic,stock,-1.34,0.0,-1.34,1,VBL
Marine Shipping,stock,-1.38,0.0,-1.38,1,ADANIPORTS
Aluminum,stock,-1.42,0.0,-1.42,2,HINDALCO
Steel,stock,-1.51,0.0,-1.51,5,NMDC
Biotechnology,stock,-1.64,0.0,-1.64,1,BIOCON
Insurance - Life,stock,-1.82,0.0,-1.82,2,HDFCLIFE
Oil & Gas Refining & Marketing,stock,-1.82,0.0,-1.82,4,RELIANCE
Thermal Coal,stock,-2.42,0.0,-2.42,2,COALINDIA
Oil & Gas Integrated,stock,-2.42,0.0,-2.42,1,ONGC
Insurance - Diversified,stock,-2.66,0.0,-2.66,1,ICICIGI
Drug Manufacturers - Specialty & Generic,stock,-3.45,0.0,-3.45,9,TORNTPHARM
General,mutual_fund,0.0,0.0,,13602,360 ONE Balanced Hybrid Fund - Direct Plan - IDCW
Precious Metals,gold,0.0,0.0,0.0,1,Gold
