sector,investment_count,investment_types,avg_return_pct,avg_price,volatility,top_performers,momentum_score
Entertainment,1,Stocks,3.24,59.33,0.0,"[{'symbol': 'NETWORK18', 'name': 'Network18 Media & Investments Limited', 'change_percent': 3.24}]",2.144
Agricultural Inputs,3,Stocks,3.68,676.28,3.35,"[{'symbol': 'UPL', 'name': 'UPL Limited', 'change_percent': 7.0}, {'symbol': 'RALLIS', 'name': 'Rallis India Limited', 'change_percent': 3.73}, {'symbol': 'FACT', 'name': 'The Fertilisers and Chemicals Travancore Limited', 'change_percent': 0.31}]",2.1380000000000003
Banks - Regional,9,Stocks,0.78,923.5,1.27,"[{'symbol': 'INDUSINDBK', 'name': 'IndusInd Bank Limited', 'change_percent': 2.6}, {'symbol': 'IDFCFIRSTB', 'name': 'IDFC First Bank Limited', 'change_percent': 2.59}, {'symbol': 'YESBANK', 'name': 'Yes Bank Limited', 'change_percent': 1.56}]",2.0140000000000002
Household & Personal Products,7,Stocks,0.94,1182.5,1.17,"[{'symbol': 'EMAMILTD', 'name': 'Emami Limited', 'change_percent': 3.1}, {'symbol': 'MARICO', 'name': 'Marico Limited', 'change_percent': 1.7}, {'symbol': 'DABUR', 'name': 'Dabur India Limited', 'change_percent': 1.01}]",1.73
Luxury Goods,2,Stocks,2.52,1771.88,1.84,"[{'symbol': 'RAJESHEXPO', 'name': 'Rajesh Exports Limited', 'change_percent': 3.82}, {'symbol': 'TITAN', 'name': 'Titan Company Limited', 'change_percent': 1.22}]",1.544
Auto Manufacturers,7,Stocks,0.38,5273.64,1.79,"[{'symbol': 'EICHERMOT', 'name': 'Eicher Motors Limited', 'change_percent': 2.4}, {'symbol': 'TVSMOTOR', 'name': 'TVS Motor Company Limited', 'change_percent': 2.01}, {'symbol': 'HEROMOTOCO', 'name': 'Hero MotoCorp Limited', 'change_percent': 1.19}]",1.27
Information Technology Services,9,Stocks,-0.51,2387.96,1.63,"[{'symbol': 'TCS', 'name': 'Tata Consultancy Services Limited', 'change_percent': 2.38}, {'symbol': 'WIPRO', 'name': 'Wipro Limited', 'change_percent': 1.36}, {'symbol': 'INFY', 'name': 'Infosys Limited', 'change_percent': 0.74}]",1.1680000000000001
Insurance - Diversified,1,Stocks,1.52,1895.6,0.0,"[{'symbol': 'ICICIGI', 'name': 'ICICI Lombard General Insurance Company Limited', 'change_percent': 1.52}]",1.1119999999999999
Building Materials,5,Stocks,0.56,9611.35,1.37,"[{'symbol': 'AMBUJACEM', 'name': 'Ambuja Cements Limited', 'change_percent': 2.57}, {'symbol': 'ULTRACEMCO', 'name': 'UltraTech Cement Limited', 'change_percent': 1.19}, {'symbol': 'ACC', 'name': 'ACC Limited', 'change_percent': 0.35}]",1.062
Asset Management,1,Stocks,1.25,5685.0,0.0,"[{'symbol': 'HDFCAMC', 'name': 'HDFC Asset Management Company Limited', 'change_percent': 1.25}]",0.95
Financial Conglomerates,1,Stocks,0.9,1933.6,0.0,"[{'symbol': 'BAJAJFINSV', 'name': 'Bajaj Finserv Ltd.', 'change_percent': 0.9}]",0.74
Engineering & Construction,2,Stocks,0.72,2457.25,0.71,"[{'symbol': 'LT', 'name': 'Larsen & Toubro Limited', 'change_percent': 1.22}, {'symbol': 'AXISCADES', 'name': 'AXISCADES Technologies Limited', 'change_percent': 0.21}]",0.6900000000000001
Utilities - Renewable,1,Stocks,0.8,93.09,0.0,"[{'symbol': 'SJVN', 'name': 'SJVN Limited', 'change_percent': 0.8}]",0.6799999999999999
Insurance - Life,2,Stocks,0.86,1285.65,1.58,"[{'symbol': 'SBILIFE', 'name': 'SBI Life Insurance Company Limited', 'change_percent': 1.97}, {'symbol': 'HDFCLIFE', 'name': 'HDFC Life Insurance Company Limited', 'change_percent': -0.26}]",0.6
Medical Care Facilities,1,Stocks,0.64,7498.0,0.0,"[{'symbol': 'APOLLOHOSP', 'name': 'Apollo Hospitals Enterprise Limited', 'change_percent': 0.64}]",0.5840000000000001
Packaged Foods,3,Stocks,0.08,3048.6,0.37,"[{'symbol': 'BRITANNIA', 'name': 'Britannia Industries Limited', 'change_percent': 0.47}, {'symbol': 'NESTLEIND', 'name': 'Nestlé India Limited', 'change_percent': 0.04}, {'symbol': 'TATACONSUM', 'name': 'Tata Consumer Products Limited', 'change_percent': -0.26}]",0.5740000000000001
Credit Services,5,Stocks,-0.26,1139.58,1.35,"[{'symbol': 'RECLTD', 'name': 'REC Limited', 'change_percent': 1.25}, {'symbol': 'BAJFINANCE', 'name': 'Bajaj Finance Limited', 'change_percent': 1.11}, {'symbol': 'MUTHOOTFIN', 'name': 'Muthoot Finance Limited', 'change_percent': -0.75}]",0.574
Specialty Chemicals,2,Stocks,0.31,2659.8,0.65,"[{'symbol': 'ASIANPAINT', 'name': 'Asian Paints Limited', 'change_percent': 0.77}, {'symbol': 'PIDILITIND', 'name': 'Pidilite Industries Limited', 'change_percent': -0.15}]",0.456
Auto Parts,4,Stocks,-0.13,37488.46,2.05,"[{'symbol': 'GABRIEL', 'name': 'Gabriel India Limited', 'change_percent': 2.65}, {'symbol': 'BALKRISIND', 'name': 'Balkrishna Industries Limited', 'change_percent': 0.12}, {'symbol': 'MRF', 'name': 'MRF Limited', 'change_percent': -1.31}]",0.31200000000000006
Conglomerates,2,Stocks,0.63,15885.0,2.47,"[{'symbol': 'CYIENT', 'name': 'Cyient Limited', 'change_percent': 2.38}, {'symbol': '3MINDIA', 'name': '3M India Limited', 'change_percent': -1.12}]",0.284
Textile Manufacturing,2,Stocks,0.42,514.71,1.89,"[{'symbol': 'BANSWRAS', 'name': 'Banswara Syntex Limited', 'change_percent': 1.76}, {'symbol': 'GARFIBRES', 'name': 'Garware Technical Fibres Limited', 'change_percent': -0.91}]",0.274
Tobacco,1,Stocks,0.1,416.85,0.0,"[{'symbol': 'ITC', 'name': 'ITC Limited', 'change_percent': 0.1}]",0.26
Footwear & Accessories,1,Stocks,0.0,1186.2,0.0,"[{'symbol': 'BATAINDIA', 'name': 'Bata India Limited', 'change_percent': 0.0}]",0.2
Unknown,1,Stocks,0.0,280.0,0.0,"[{'symbol': 'SPENTEX', 'name': 'CLC Industries Limited', 'change_percent': 0.0}]",0.2
Oil & Gas Refining & Marketing,6,Stocks,-1.31,462.64,2.29,"[{'symbol': 'RELIANCE', 'name': 'Reliance Industries Limited', 'change_percent': 1.28}, {'symbol': 'CASTROLIND', 'name': 'Castrol India Limited', 'change_percent': 0.53}, {'symbol': 'PETRONET', 'name': 'Petronet LNG Limited', 'change_percent': 0.48}]",-0.04399999999999982
Utilities - Regulated Electric,2,Stocks,-0.4,309.98,1.03,"[{'symbol': 'NTPC', 'name': 'NTPC Limited', 'change_percent': 0.33}, {'symbol': 'POWERGRID', 'name': 'Power Grid Corporation of India Limited', 'change_percent': -1.13}]",-0.045999999999999985
Broadcasting,3,Stocks,-1.11,276.38,0.67,"[{'symbol': 'SUNTV', 'name': 'Sun TV Network Limited', 'change_percent': -0.34}, {'symbol': 'TVTODAY', 'name': 'T.V. Today Network Limited', 'change_percent': -1.4}, {'symbol': 'ZEEL', 'name': 'Zee Entertainment Enterprises Limited', 'change_percent': -1.58}]",-0.19999999999999996
Farm & Heavy Construction Machinery,2,Stocks,-0.1,1706.05,2.79,"[{'symbol': 'ASHOKLEY', 'name': 'Ashok Leyland Limited', 'change_percent': 1.87}, {'symbol': 'ESCORTS', 'name': 'Escorts Kubota Limited', 'change_percent': -2.07}]",-0.21800000000000008
Utilities - Independent Power Producers,2,Stocks,-0.13,850.7,2.81,"[{'symbol': 'TORNTPOWER', 'name': 'Torrent Power Limited', 'change_percent': 1.86}, {'symbol': 'TATAPOWER', 'name': 'Tata Power Company Limited', 'change_percent': -2.12}]",-0.24
Drug Manufacturers - Specialty & Generic,9,Stocks,-2.88,2702.07,1.66,"[{'symbol': 'SUNPHARMA', 'name': 'Sun Pharmaceutical Industries Limited', 'change_percent': 0.73}, {'symbol': 'TORNTPHARM', 'name': 'Torrent Pharmaceuticals Limited', 'change_percent': -1.7}, {'symbol': 'ALKEM', 'name': 'Alkem Laboratories Limited', 'change_percent': -2.63}]",-0.26
Aluminum,2,Stocks,-0.04,434.2,3.27,"[{'symbol': 'HINDALCO', 'name': 'Hindalco Industries Limited', 'change_percent': 2.27}, {'symbol': 'NATIONALUM', 'name': 'National Aluminium Company Limited', 'change_percent': -2.36}]",-0.278
Oil & Gas Integrated,1,Stocks,-0.83,234.83,0.0,"[{'symbol': 'ONGC', 'name': 'Oil and Natural Gas Corporation Limited', 'change_percent': -0.83}]",-0.29799999999999993
